epoch (ms),time (06:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1601970683172,2020-10-06T10:51:23.172,0.000,0.004,-0.002,1.005
1601970683192,2020-10-06T10:51:23.192,0.020,0.017,-0.005,1.017
1601970683212,2020-10-06T10:51:23.212,0.040,0.023,-0.007,1.019
1601970683232,2020-10-06T10:51:23.232,0.060,0.019,-0.005,1.016
1601970683252,2020-10-06T10:51:23.252,0.080,0.015,-0.005,1.015
1601970683272,2020-10-06T10:51:23.272,0.100,0.014,-0.006,1.020
1601970683292,2020-10-06T10:51:23.292,0.120,0.015,-0.004,1.017
1601970683312,2020-10-06T10:51:23.312,0.140,0.014,-0.001,1.021
1601970683332,2020-10-06T10:51:23.332,0.160,0.014,-0.005,1.021
1601970683352,2020-10-06T10:51:23.352,0.180,0.017,-0.005,1.017
1601970683372,2020-10-06T10:51:23.372,0.200,0.020,-0.005,1.016
1601970683392,2020-10-06T10:51:23.392,0.220,0.028,-0.007,1.026
1601970683412,2020-10-06T10:51:23.412,0.240,0.022,-0.009,1.019
1601970683432,2020-10-06T10:51:23.432,0.260,0.020,-0.008,1.008
1601970683452,2020-10-06T10:51:23.452,0.280,0.023,-0.005,1.015
1601970683472,2020-10-06T10:51:23.472,0.300,0.021,-0.004,1.023
1601970683492,2020-10-06T10:51:23.492,0.320,0.015,-0.004,1.020
1601970683512,2020-10-06T10:51:23.512,0.340,0.013,-0.003,1.015
1601970683532,2020-10-06T10:51:23.532,0.360,0.021,-0.008,1.015
1601970683552,2020-10-06T10:51:23.552,0.380,0.022,-0.009,1.014
1601970683572,2020-10-06T10:51:23.572,0.400,0.025,-0.007,1.021
1601970683592,2020-10-06T10:51:23.592,0.420,0.024,-0.009,1.022
1601970683612,2020-10-06T10:51:23.612,0.440,0.018,-0.006,1.020
1601970683632,2020-10-06T10:51:23.632,0.460,0.010,-0.002,1.014
1601970683652,2020-10-06T10:51:23.652,0.480,0.012,-0.006,1.016
1601970683672,2020-10-06T10:51:23.672,0.500,0.028,-0.006,1.021
1601970683692,2020-10-06T10:51:23.692,0.520,0.027,-0.008,1.022
