epoch (ms),time (06:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1601970683148,2020-10-06T10:51:23.148,0.000,0.076,0.991,0.564
1601970683168,2020-10-06T10:51:23.168,0.020,-0.137,-0.625,1.174
1601970683188,2020-10-06T10:51:23.188,0.040,-1.601,-4.954,0.716
1601970683208,2020-10-06T10:51:23.208,0.060,-0.884,-2.210,0.549
1601970683228,2020-10-06T10:51:23.228,0.080,0.396,1.890,0.625
1601970683248,2020-10-06T10:51:23.248,0.100,-0.168,-0.610,0.579
1601970683268,2020-10-06T10:51:23.268,0.120,-0.442,-2.805,0.564
1601970683288,2020-10-06T10:51:23.288,0.140,-0.061,-0.701,0.625
1601970683308,2020-10-06T10:51:23.308,0.160,-0.655,-2.073,0.762
1601970683328,2020-10-06T10:51:23.328,0.180,-1.006,-2.927,0.838
1601970683348,2020-10-06T10:51:23.348,0.200,-0.671,-2.454,0.915
1601970683368,2020-10-06T10:51:23.368,0.220,-0.747,-3.582,0.640
1601970683388,2020-10-06T10:51:23.388,0.240,-0.884,-3.415,0.351
1601970683408,2020-10-06T10:51:23.408,0.260,-0.015,-0.534,-0.030
1601970683428,2020-10-06T10:51:23.428,0.280,0.244,0.534,0.107
1601970683448,2020-10-06T10:51:23.448,0.300,-0.351,-2.470,0.091
1601970683468,2020-10-06T10:51:23.468,0.320,0.259,0.777,-0.030
1601970683488,2020-10-06T10:51:23.488,0.340,1.159,3.704,-0.076
1601970683508,2020-10-06T10:51:23.508,0.360,0.366,-0.274,-0.122
1601970683528,2020-10-06T10:51:23.528,0.380,-0.320,-2.637,-0.122
1601970683548,2020-10-06T10:51:23.548,0.400,0.168,-1.616,-0.076
1601970683568,2020-10-06T10:51:23.568,0.420,0.152,-1.174,-0.152
1601970683588,2020-10-06T10:51:23.588,0.440,-0.107,-1.479,-0.107
1601970683608,2020-10-06T10:51:23.608,0.460,0.473,1.555,0.137
1601970683628,2020-10-06T10:51:23.628,0.480,0.777,2.256,0.366
1601970683648,2020-10-06T10:51:23.648,0.500,-0.381,-1.921,0.351
1601970683668,2020-10-06T10:51:23.668,0.520,-1.006,-5.290,0.716
1601970683688,2020-10-06T10:51:23.688,0.540,-0.610,-3.049,0.625
1601970683708,2020-10-06T10:51:23.708,0.560,0.640,1.662,0.366
1601970683728,2020-10-06T10:51:23.728,0.580,-0.137,-1.220,0.335
1601970683748,2020-10-06T10:51:23.748,0.600,-1.128,-5.777,0.213
1601970683768,2020-10-06T10:51:23.768,0.620,0.168,-0.595,0.259
1601970683788,2020-10-06T10:51:23.788,0.640,0.777,2.043,0.366
1601970683808,2020-10-06T10:51:23.808,0.660,-0.716,-3.476,0.305
1601970683828,2020-10-06T10:51:23.828,0.680,-0.915,-4.329,0.305
1601970683848,2020-10-06T10:51:23.848,0.700,0.534,0.808,0.366
1601970683868,2020-10-06T10:51:23.868,0.720,0.488,0.579,0.320
1601970683888,2020-10-06T10:51:23.888,0.740,-0.473,-3.171,0.305
1601970683908,2020-10-06T10:51:23.908,0.760,-0.320,-2.363,0.351
1601970683928,2020-10-06T10:51:23.928,0.780,-0.152,-0.976,0.427
1601970683948,2020-10-06T10:51:23.948,0.800,-0.137,-0.198,0.412
1601970683968,2020-10-06T10:51:23.968,0.820,-0.198,-0.412,0.701
1601970683988,2020-10-06T10:51:23.988,0.840,-0.945,-1.707,0.899
1601970684008,2020-10-06T10:51:24.008,0.860,-0.595,-0.960,1.113
1601970684028,2020-10-06T10:51:24.028,0.880,-0.960,-1.936,1.280
1601970684048,2020-10-06T10:51:24.048,0.900,-0.899,-2.378,1.067
1601970684068,2020-10-06T10:51:24.068,0.920,-1.448,-3.552,1.082
1601970684088,2020-10-06T10:51:24.088,0.940,-1.936,-5.823,1.296
